time,state,V,label
1731598926,Flood,9200,NoFlood
1731599287,Flood,9200,Flood
1731599647,Flood,9200,Flood
1731600007,Flood,9200,Flood
1731600366,Flood,9200,Flood
1731600727,NoFlood,9216,Flood
1731601086,Flood,9200,NoFlood
1731601447,Flood,9200,NoFlood
1731601806,Flood,9200,NoFlood
1731602167,Flood,9200,NoFlood
1731602526,Flood,9200,NoFlood
1731602887,Flood,9200,NoFlood
1731603246,Flood,9200,NoFlood
1731603607,Flood,9200,NoFlood
1731603966,Flood,9200,NoFlood
1731604327,NoFlood,9216,NoFlood
1731604686,NoFlood,9216,NoFlood
1731605047,Flood,9200,NoFlood
1731605406,Flood,9200,NoFlood
1731605767,Flood,9200,NoFlood
1731606127,Flood,9200,NoFlood
1731606486,Flood,9200,NoFlood
1731606846,Flood,9200,NoFlood
1731607206,Flood,9200,NoFlood
1731607567,Flood,9200,NoFlood
1731607926,Flood,9200,NoFlood
1731608287,Flood,9200,NoFlood
1731608865,Flood,9200,NoFlood
1731609006,NoFlood,9216,NoFlood
1731609366,Flood,9200,NoFlood
1731609727,Flood,9200,Flood
1731610086,Flood,9200,Flood
1731610447,Flood,9200,Flood
1731610807,Flood,9200,Flood
1731611166,Flood,9200,Flood
1731611527,Flood,9200,Flood
1731611887,Flood,9200,Flood
1731612247,Flood,9200,Flood
1731612607,Flood,9200,Flood
1731612966,Flood,9200,Flood
1731613327,Flood,9200,Flood
1731613687,Flood,9200,Flood
1731614047,Flood,9200,Flood
1731614406,Flood,9200,Flood
1731614766,Flood,9200,Flood
1731615127,Flood,9200,Flood
1731615486,Flood,9200,Flood
1731615847,NoFlood,9216,Flood
1731616206,Flood,9200,Flood
1731616567,Flood,9200,Flood
1731616926,Flood,9200,Flood
1731617287,Flood,9200,Flood
1731617646,Flood,9200,Flood
1731618007,Flood,9200,Flood
1731618366,Flood,9200,Flood
1731618726,Flood,9200,Flood
1731619087,Flood,9200,Flood
1731619446,Flood,9200,Flood
1731619807,Flood,9200,Flood
1731620166,Flood,9200,Flood
1731620527,Flood,9200,NoFlood
1731620886,Flood,9200,NoFlood
1731621247,Flood,9200,NoFlood
1731621606,Flood,9200,NoFlood
1731621967,Flood,9200,NoFlood
1731622326,Flood,9200,NoFlood
1731622687,Flood,9200,NoFlood
1731623044,TooDark,9056,
1731623404,TooDark,9056,
1731623764,TooDark,9056,
1731624124,TooDark,9056,
1731624484,TooDark,9056,
1731624844,TooDark,9056,
1731625204,TooDark,9056,
1731625564,TooDark,9056,
1731625924,TooDark,9056,
1731626284,TooDark,9056,
1731626644,TooDark,9056,
1731627004,TooDark,9056,
1731627364,TooDark,9056,
1731627724,TooDark,9056,
1731628084,TooDark,9056,
1731628444,TooDark,9056,
1731628804,TooDark,9088,
1731629165,TooDark,9120,
1731629524,TooDark,9120,
1731629884,TooDark,9120,
1731630244,TooDark,9120,
1731630604,TooDark,9120,
1731630964,TooDark,9120,
1731631324,TooDark,9120,
1731631684,TooDark,9120,
1731632044,TooDark,9120,
1731632404,TooDark,9120,
1731632764,TooDark,9120,
1731633124,TooDark,9120,
1731633484,TooDark,9120,
1731633844,TooDark,9120,
1731634204,TooDark,9120,
1731634564,TooDark,9120,
1731634924,TooDark,9120,
1731635284,TooDark,9120,
1731635644,TooDark,9120,
1731636004,TooDark,9120,
1731636364,TooDark,9120,
1731636724,TooDark,9120,
1731637084,TooDark,9120,
1731637444,TooDark,9120,
1731637804,TooDark,9120,
1731638164,TooDark,9120,
1731638524,TooDark,9120,
1731638884,TooDark,9120,
1731639244,TooDark,9120,
1731639604,TooDark,9120,
1731639964,TooDark,9120,
1731640324,TooDark,9120,
1731640684,TooDark,9120,
1731641044,TooDark,9120,
1731641404,TooDark,9120,
1731641764,TooDark,9120,
1731642124,TooDark,9120,
1731642484,TooDark,9120,
1731642844,TooDark,9120,
1731643204,TooDark,9120,
1731643564,TooDark,9120,
1731643924,TooDark,9120,
1731644284,TooDark,9120,
1731644644,TooDark,9120,
1731645004,TooDark,9120,
1731645364,TooDark,9120,
1731645724,TooDark,9120,
1731646084,TooDark,9120,
1731646444,TooDark,9120,
1731646804,TooDark,9120,
1731647164,TooDark,9120,
1731647524,TooDark,9120,
1731647884,TooDark,9120,
1731648244,TooDark,9120,
1731648604,TooDark,9120,
1731648964,TooDark,9120,
1731649324,TooDark,9120,
1731649684,TooDark,9120,
1731650044,TooDark,9120,
1731650404,TooDark,9120,
1731650764,TooDark,9120,
1731651124,TooDark,9120,
1731651484,TooDark,9120,
1731651844,TooDark,9120,
1731652204,TooDark,9120,
1731652564,TooDark,9120,
