time,state,V,label
1731521526,NoFlood,9248,
1731521887,NoFlood,9344,
1731522247,NoFlood,9344,
1731522606,NoFlood,9344,
1731522967,NoFlood,9344,
1731523687,NoFlood,9344,
1731524047,NoFlood,9344,
1731524407,NoFlood,9344,
1731524766,NoFlood,9344,
1731597847,Flood,9360,NoFlood
1731600366,NoFlood,9408,NoFlood
1731603246,Flood,9392,NoFlood
1731603607,NoFlood,9408,NoFlood
1731604327,NoFlood,9408,NoFlood
1731604687,NoFlood,9408,NoFlood
1731605046,Flood,9392,NoFlood
1731605407,NoFlood,9408,NoFlood
1731605766,NoFlood,9408,NoFlood
1731606126,NoFlood,9408,NoFlood
1731606486,NoFlood,9408,NoFlood
1731606847,NoFlood,9408,NoFlood
1731607207,NoFlood,9408,NoFlood
1731607567,NoFlood,9408,NoFlood
1731607927,NoFlood,9408,NoFlood
1731608286,NoFlood,9408,NoFlood
1731608647,NoFlood,9408,NoFlood
1731609367,Flood,9392,NoFlood
1731759126,Flood,9424,Flood
1731759486,Flood,9456,Flood
1731759847,Flood,9456,Flood
1731760207,Flood,9456,Flood
1731760566,Flood,9456,Flood
1731760927,Flood,9456,Flood
1731761287,Flood,9456,Flood
1731761647,Flood,9456,Flood
1731762006,Flood,9456,Flood
1731762367,Flood,9456,Flood
1731762726,Flood,9456,Flood
1731763087,Flood,9456,Flood
1731763446,Flood,9456,Flood
1731763806,Flood,9456,Flood
1731764167,Flood,9456,Flood
1731764527,Flood,9456,Flood
1731764887,Flood,9456,Flood
1731765246,Flood,9456,Flood
1731765607,Flood,9456,Flood
1731765966,Flood,9456,Flood
1731766327,Flood,9456,Flood
1731766687,Flood,9456,Flood
1731767046,Flood,9456,Flood
1731767407,Flood,9456,Flood
1731767767,Flood,9456,Flood
1731768127,Flood,9456,Flood
1731768486,Flood,9456,Flood
1731768847,Flood,9456,Flood
1731769207,Flood,9456,Flood
1731769566,Flood,9456,Flood
1731769927,Flood,9456,Flood
1731770286,Flood,9456,Flood
1731770647,Flood,9456,Flood
1731771007,Flood,9456,Flood
1731771366,Flood,9456,Flood
1731771726,Flood,9456,Flood
1731772087,Flood,9456,Flood
1731772447,Flood,9456,Flood
1731772806,Flood,9456,Flood
1731773167,Flood,9456,Flood
1731773527,Flood,9456,Flood
1731773886,Flood,9456,Flood
1731774247,Flood,9456,Flood
1731774607,Flood,9456,Flood
1731774966,Flood,9456,Flood
1731775327,Flood,9456,NoFlood
1731775687,NoFlood,9472,NoFlood
1731776046,NoFlood,9472,NoFlood
1731776406,Flood,9456,NoFlood
1731776767,Flood,9456,NoFlood
1731777127,Flood,9456,NoFlood
1731777487,Flood,9456,NoFlood
1731777847,Flood,9456,NoFlood
1731778206,Flood,9456,NoFlood
1731778566,Flood,9456,NoFlood
1731778927,Flood,9456,NoFlood
1731779287,Flood,9456,NoFlood
1731779647,Flood,9456,NoFlood
1731780006,Flood,9456,NoFlood
1731780367,Flood,9456,NoFlood
1731780727,Flood,9456,NoFlood
1731781086,Flood,9456,NoFlood
1731781447,Flood,9456,NoFlood
1731781807,Flood,9456,NoFlood
1731782167,Flood,9456,NoFlood
1731782526,Flood,9456,NoFlood
1731782887,Flood,9456,NoFlood
1731783247,NoFlood,9472,NoFlood
1731783607,Flood,9456,NoFlood
1731783966,Flood,9456,NoFlood
1731784327,NoFlood,9472,NoFlood
1731784687,NoFlood,9472,NoFlood
1731785047,NoFlood,9472,NoFlood
1731785406,Flood,9456,NoFlood
1731785767,Flood,9456,NoFlood
1731786127,NoFlood,9472,NoFlood
1731786847,NoFlood,9472,NoFlood
1731787207,NoFlood,9472,NoFlood
1731787566,NoFlood,9472,NoFlood
1731788286,NoFlood,9472,NoFlood
1731846246,NoFlood,9504,NoFlood
1731846607,NoFlood,9536,NoFlood
1731846967,NoFlood,9536,NoFlood
1731847327,NoFlood,9536,NoFlood
1731847686,NoFlood,9536,NoFlood
1731848047,NoFlood,9536,NoFlood
1731848407,NoFlood,9536,NoFlood
1731848766,NoFlood,9536,NoFlood
1731849127,NoFlood,9536,NoFlood
1731849487,NoFlood,9536,Flood
1731849846,Flood,9520,Flood
1731850207,Flood,9520,Flood
1731850567,Flood,9520,Flood
1731850927,Flood,9520,Flood
1731851286,Flood,9520,Flood
1731851647,Flood,9520,Flood
1731852006,Flood,9520,Flood
1731852367,Flood,9520,Flood
1731852727,Flood,9520,Flood
1731853087,Flood,9520,Flood
1731853447,Flood,9520,Flood
1731853807,Flood,9520,Flood
1731854167,Flood,9520,Flood
1731854526,Flood,9520,Flood
1731854886,Flood,9520,Flood
1731855247,Flood,9520,Flood
1731855607,Flood,9520,Flood
1731855967,Flood,9520,Flood
1731856326,Flood,9520,Flood
1731856686,Flood,9520,Flood
1731857061,Flood,9520,Flood
1731857407,Flood,9520,Flood
1731857767,Flood,9520,Flood
1731858127,Flood,9520,Flood
1731858487,Flood,9520,Flood
1731858847,Flood,9520,Flood
1731859206,Flood,9520,Flood
1731859581,Flood,9520,Flood
1731859927,Flood,9520,Flood
